id,peso_g,diametro_cm,teor_acucar_brix,firmeza_kgf,indice_cor,classe_fruta
101,183.9,7.19,11.81,7.25,0.754,pera
102,151.5,7.96,10.27,5.99,0.623,pera
103,156.0,6.87,9.94,5.55,0.731,pera
104,145.0,6.76,12.63,7.49,0.710,pera
105,159.7,6.47,12.69,6.64,0.744,pera
106,189.3,6.45,11.48,6.75,0.579,pera
107,178.3,6.89,10.95,6.62,0.691,pera
108,203.2,7.63,12.18,6.02,0.738,pera
109,170.7,6.91,11.51,7.04,0.462,pera
110,177.6,6.72,11.61,5.84,0.754,pera
111,167.2,6.59,11.80,6.10,0.511,pera
112,168.1,7.00,13.35,6.52,0.652,pera
113,179.1,7.19,10.87,7.13,0.703,pera
114,170.6,7.70,13.07,7.51,0.650,pera
115,171.0,7.40,10.34,5.67,0.729,pera
116,170.8,6.25,12.44,6.05,0.682,pera
117,173.7,6.99,12.22,5.15,0.708,pera
118,193.0,7.78,10.97,5.76,0.759,pera
119,177.2,7.30,11.69,5.11,0.640,pera
120,148.8,6.36,10.52,6.72,0.609,pera
121,129.3,7.09,10.85,5.79,0.621,pera
122,166.3,7.59,10.22,6.44,0.605,pera
123,183.1,7.12,12.11,6.07,0.644,pera
124,165.2,7.27,10.65,5.20,0.609,pera
125,158.1,7.32,11.06,5.53,0.688,pera
126,189.7,6.79,10.28,6.81,0.708,pera
127,205.4,7.03,11.36,5.69,0.757,pera
128,153.8,6.43,12.15,5.88,0.626,pera
129,155.1,6.94,11.60,5.98,0.573,pera
130,200.7,7.65,10.99,6.42,0.530,pera
131,204.5,7.06,12.55,6.27,0.579,pera
132,182.9,6.86,12.51,4.30,0.635,pera
133,194.8,7.22,12.94,6.97,0.684,pera
134,180.3,6.68,12.04,5.89,0.674,pera
135,184.4,6.59,9.71,7.28,0.781,pera
136,180.5,6.40,11.44,5.42,0.683,pera
137,203.5,6.79,10.63,6.31,0.689,pera
138,193.5,7.32,9.74,6.08,0.746,pera
139,151.9,6.94,9.93,7.11,0.667,pera
140,188.3,6.85,12.98,7.12,0.714,pera
141,191.6,6.47,9.90,6.95,0.619,pera
142,143.4,7.11,11.56,6.59,0.696,pera
143,168.0,6.99,12.16,7.10,0.656,pera
144,154.1,7.65,12.50,6.85,0.729,pera
145,190.5,7.96,10.93,6.85,0.595,pera
146,183.7,7.18,10.83,5.84,0.678,pera
147,178.6,7.07,11.84,5.56,0.561,pera
148,180.1,6.51,11.07,6.47,0.590,pera
149,168.4,7.10,11.98,7.08,0.831,pera
150,159.5,6.08,12.08,6.11,0.619,pera
