nome_personagem,nivel,raca,classe,forca,destreza,constituicao,sabedoria,inteligencia,carisma
Volothamp Darkweaver,3,Gnomo,Mago,14,12,8,13,15,9
Wyll Stormwind,7,Meio-Elfo,Druida,15,13,13,9,11,13
Roah Cliffgate,1,Humano,Ladino,15,18,16,15,14,15
Gortash Firebrand,9,Meio-Elfo,Patrulheiro,8,16,19,15,11,8
Minsc Stonefoot,10,Dragonborn,Paladino,15,16,10,8,19,13
Abdirak Swiftfoot,6,Anão,Monge,13,15,18,19,8,16
Shadowheart Ravengard,5,Meio-Elfo,Patrulheiro,11,16,10,8,8,17
Barcus Ravengard,7,Anão,Guerreiro,19,11,9,8,8,17
Dror Swiftfoot,5,Anão,Mago,15,13,11,19,9,9
Halsin Ravengard,10,Elfo,Mago,10,12,17,11,13,18
Jaheira Del'Vyre,5,Anão,Patrulheiro,11,12,10,11,19,8
Voss Starseeker,11,Githyanki,Ladino,13,11,19,15,17,9
Gortash Cliffgate,10,Anão,Monge,18,9,9,8,18,12
Elminster Dekarios,11,Humano,Mago,14,19,8,17,12,13
Omeluum Stormwind,7,Humano,Ladino,11,13,10,10,18,8
Rath Brightwood,10,Humano,Guerreiro,11,16,17,18,9,14
Wyll Spellweaver,7,Halfling,Clérigo,14,19,13,8,15,18
Shadowheart Silverfrond,11,Gnomo,Bruxo,13,8,16,16,16,11
Lae'zel Firebrand,3,Gnomo,Monge,18,14,18,17,14,16
Wyll Goldseeker,3,Gnomo,Feiticeiro,15,13,12,19,19,13
Ragzlin Spellweaver,10,Githyanki,Guerreiro,8,10,10,16,19,16
Volothamp Silverfrond,12,Humano,Bardo,17,8,12,14,16,8
Abdirak Shadowdancer,3,Orc,Mago,18,11,12,19,11,11
Raphael Windrunner,6,Gnomo,Paladino,14,16,12,15,14,9
Minthara Dekarios,12,Dragonborn,Ladino,19,9,19,8,12,13
Omeluum Ravengard,6,Dragonborn,Bardo,14,10,19,12,12,11
Gortash Ravengard,3,Meio-Elfo,Patrulheiro,18,9,14,9,10,16
Zevlor Brightwood,3,Halfling,Mago,14,9,12,8,16,10
Orin Spellweaver,8,Orc,Clérigo,14,17,14,10,17,8
Jaheira Silverfrond,8,Anão,Feiticeiro,17,18,16,14,12,18
Gortash Anchev,7,Humano,Bardo,17,18,12,8,13,18
Cora Silverfrond,10,Githyanki,Druida,15,15,9,18,10,8
Rath Windrunner,4,Halfling,Ladino,16,10,12,9,17,19
Bex Stonefoot,4,Elfo,Bardo,16,14,15,9,14,16
Bhaal Starseeker,3,Elfo,Clérigo,9,15,19,11,16,16
Volothamp Darkweaver,5,Tiefling,Monge,14,10,11,19,16,12
Brem Del'Vyre,3,Anão,Patrulheiro,14,9,9,10,17,9
Abdirak Swiftfoot,8,Humano,Bruxo,11,15,17,10,17,16
Roah Anchev,7,Halfling,Guerreiro,16,10,10,17,12,19
Ragzlin Silverfrond,3,Elfo,Ladino,15,14,16,12,14,15
Orin Darkweaver,9,Tiefling,Paladino,19,19,16,10,19,18
Astarion Spellweaver,12,Githyanki,Druida,8,8,15,18,19,17
Roah Stonefoot,5,Humano,Bardo,9,19,15,14,10,17
Halsin Bloodaxe,9,Elfo,Ladino,9,13,15,12,13,13
Minsc Moonbreeze,7,Gnomo,Monge,19,19,15,11,19,14
Brem Stonefoot,7,Dragonborn,Patrulheiro,19,19,15,19,15,19
Astarion Moonbreeze,6,Tiefling,Clérigo,18,16,8,10,15,13
Jaheira Ironfist,2,Githyanki,Bruxo,15,19,13,19,9,12
Brem Hallowtide,9,Elfo,Ladino,8,10,19,11,13,11
Viconia Dekarios,6,Githyanki,Paladino,11,14,16,19,14,14
Elminster Darkweaver,8,Anão,Guerreiro,17,13,15,9,19,11
Jaheira Ansur,1,Meio-Elfo,Guerreiro,19,15,10,8,14,17
Voss Sunstrider,5,Tiefling,Bruxo,12,10,18,10,10,17
Voss Del'Vyre,12,Halfling,Druida,16,10,8,18,16,17
Mizora Silverfrond,1,Halfling,Feiticeiro,14,11,9,9,9,16
Karlach Firebrand,10,Elfo,Paladino,15,10,18,8,18,12
Kagha Anchev,11,Gnomo,Monge,18,16,9,8,10,15
Dror Ironfist,8,Gnomo,Paladino,16,18,14,9,18,19
Halsin Dekarios,8,Anão,Monge,14,11,19,16,9,19
Minsc Darkweaver,1,Halfling,Druida,12,13,13,12,18,19
Jaheira Spellweaver,9,Tiefling,Monge,12,15,18,16,16,13
Sarevok Del'Vyre,2,Dragonborn,Patrulheiro,17,18,9,15,11,11
Raphael Stormwind,12,Gnomo,Paladino,18,15,15,18,9,19
Mizora Stoutbeard,9,Halfling,Clérigo,13,12,16,13,10,10
Cora Windrunner,1,Meio-Elfo,Feiticeiro,12,12,14,8,11,18
Brem Nightbreeze,12,Tiefling,Clérigo,19,13,11,17,17,13
Blurg Sunstrider,10,Dragonborn,Feiticeiro,18,17,8,12,13,8
Voss Darkweaver,9,Meio-Elfo,Bardo,16,14,11,19,12,9
Rath Ravengard,4,Halfling,Paladino,10,17,11,8,10,14
Danis Hallowtide,9,Elfo,Druida,10,14,15,14,17,11
Nere Stonefoot,7,Orc,Paladino,14,11,11,17,15,12
Voss Stoutbeard,11,Orc,Guerreiro,14,13,11,18,15,18
Astarion Ravengard,6,Anão,Patrulheiro,13,14,9,15,14,17
Voss Spellweaver,5,Anão,Guerreiro,10,12,19,15,10,8
Blurg Ravengard,11,Dragonborn,Feiticeiro,14,12,17,14,8,9
Gortash Dekarios,9,Meio-Elfo,Ladino,12,9,14,9,12,11
Gale Windrunner,2,Halfling,Mago,14,14,11,12,8,15
Astarion Darkweaver,11,Halfling,Bardo,9,19,18,11,13,17
Karlach Stonefoot,12,Elfo,Bruxo,13,13,13,12,18,11
Abdirak Anchev,2,Githyanki,Ladino,15,18,10,17,14,10
Gortash Ironfist,11,Anão,Ladino,8,8,14,16,19,10
Kagha Windrunner,12,Githyanki,Paladino,11,11,13,11,12,19
Nere Silverfrond,9,Githyanki,Feiticeiro,18,10,10,19,11,12
Minsc Firebrand,12,Elfo,Ladino,8,19,11,15,9,10
Orin Moonbreeze,3,Githyanki,Mago,8,10,17,15,12,15
Orin Windrunner,8,Githyanki,Ladino,17,14,12,9,16,12
Abdirak Stonefoot,11,Elfo,Paladino,19,18,16,13,11,19
Ketheric Windrunner,9,Gnomo,Guerreiro,18,19,13,12,9,19
Dammon Ironfist,8,Githyanki,Ladino,15,17,11,9,13,14
Kagha Hallowtide,4,Anão,Bruxo,14,11,18,19,15,18
Dammon Ravengard,12,Elfo,Patrulheiro,19,19,18,17,9,15
Wyll Spellweaver,1,Tiefling,Patrulheiro,17,15,14,11,16,12
Aradin Sunstrider,4,Githyanki,Monge,8,18,9,14,14,15
Blurg Goldseeker,9,Gnomo,Bardo,18,16,11,8,9,19
Cora Brightwood,2,Anão,Mago,9,10,12,16,18,10
Kagha Bloodaxe,3,Humano,Clérigo,11,12,11,17,12,19
Orin Moonbreeze,10,Anão,Mago,8,11,11,19,12,14
Ragzlin Cliffgate,8,Meio-Elfo,Monge,10,19,18,8,14,15
Omeluum Spellweaver,6,Tiefling,Bruxo,15,17,16,19,12,14
Ketheric Darkweaver,8,Orc,Feiticeiro,15,13,18,12,18,9
Dammon Darkweaver,7,Halfling,Guerreiro,15,18,9,14,13,15
Halsin Shadowdancer,5,Meio-Elfo,Clérigo,13,17,13,15,16,13
Danis Moonbreeze,9,Elfo,Paladino,13,11,15,9,10,17
Dror Moonbreeze,4,Elfo,Paladino,12,15,15,11,10,10
Shadowheart Goldseeker,6,Halfling,Bardo,16,10,18,9,15,11
Lae'zel Cliffgate,2,Dragonborn,Clérigo,11,18,14,11,17,14
Dror Starseeker,2,Dragonborn,Paladino,17,12,17,13,19,10
Dror Dekarios,2,Halfling,Bardo,19,8,18,13,13,8
Barcus Cliffgate,10,Elfo,Bruxo,19,13,11,19,19,13
Aradin Ironfist,7,Anão,Clérigo,19,18,14,9,17,10
Viconia Ansur,2,Tiefling,Bruxo,14,12,17,18,10,18
Dror Sunstrider,12,Gnomo,Paladino,8,15,13,11,9,17
Roah Starseeker,2,Orc,Patrulheiro,16,16,18,11,9,13
Kagha Firebrand,9,Tiefling,Mago,14,15,13,8,9,17
Mizora Ironfist,7,Halfling,Mago,17,15,9,9,12,19
Astarion Nightbreeze,11,Elfo,Bruxo,19,19,15,10,19,10
Nere Darkweaver,3,Dragonborn,Patrulheiro,16,10,15,18,12,13
Ketheric Stormwind,3,Elfo,Bardo,14,11,18,12,8,18
Gale Spellweaver,7,Dragonborn,Guerreiro,9,18,14,18,9,11
Kagha Darkweaver,5,Tiefling,Feiticeiro,13,11,18,15,9,11
Lae'zel Stonefoot,10,Meio-Elfo,Guerreiro,17,18,16,13,11,17
Jaheira Bloodaxe,6,Anão,Druida,19,12,15,10,14,17
Nere Stormwind,12,Tiefling,Monge,18,16,16,13,10,18
Minsc Darkweaver,8,Anão,Ladino,11,19,16,14,12,9
Blurg Firebrand,9,Githyanki,Druida,10,16,13,13,18,11
Mizora Firebrand,1,Tiefling,Guerreiro,9,17,9,17,16,18
Brem Dekarios,3,Humano,Feiticeiro,13,19,19,13,12,19
Orin Hallowtide,11,Humano,Patrulheiro,15,8,14,8,16,11
Dammon Silverfrond,7,Anão,Mago,13,15,10,10,8,18
Dammon Del'Vyre,6,Githyanki,Mago,16,8,14,14,16,14
Brem Shadowdancer,7,Anão,Guerreiro,12,9,16,11,12,12
Sarevok Brightwood,8,Halfling,Guerreiro,9,14,17,19,15,15
Kagha Stoutbeard,6,Humano,Monge,15,15,17,11,12,14
Shadowheart Goldseeker,3,Elfo,Guerreiro,16,8,9,14,19,17
Gale Silverfrond,2,Anão,Bruxo,17,10,13,16,13,16
Blurg Spellweaver,12,Anão,Paladino,11,14,13,18,15,15
Elminster Spellweaver,7,Orc,Ladino,13,16,16,9,9,16
Shadowheart Spellweaver,12,Gnomo,Bardo,18,15,16,16,10,8
Shadowheart Ansur,12,Gnomo,Ladino,17,15,12,10,18,17
Dror Stoutbeard,12,Dragonborn,Ladino,15,16,12,13,16,19
Cora Darkweaver,11,Githyanki,Druida,16,17,16,11,12,10
Blurg Cliffgate,1,Humano,Guerreiro,19,10,15,8,12,12
Dammon Del'Vyre,3,Humano,Bruxo,12,15,14,16,16,16
Mizora Ravengard,12,Gnomo,Druida,19,8,15,18,17,15
Astarion Silverfrond,11,Anão,Druida,13,15,13,13,10,17
Alfira Firebrand,4,Anão,Paladino,18,14,10,15,11,14
Shadowheart Bloodaxe,1,Humano,Paladino,11,15,14,9,14,9
Abdirak Starseeker,5,Githyanki,Patrulheiro,12,8,15,14,9,18
Dammon Shadowdancer,10,Meio-Elfo,Paladino,14,13,15,13,15,13
Lae'zel Stormwind,3,Halfling,Bruxo,16,14,8,9,12,11
Dammon Windrunner,2,Orc,Patrulheiro,17,18,14,9,8,12
Wyll Windrunner,3,Humano,Clérigo,18,12,10,11,10,12
Viconia Ironfist,8,Dragonborn,Monge,13,12,9,11,16,11
Elminster Del'Vyre,6,Meio-Elfo,Clérigo,13,14,9,10,12,11
Sazza Windrunner,7,Humano,Ladino,15,18,15,15,15,11
Brem Swiftfoot,12,Orc,Druida,18,10,16,14,8,18
Karlach Swiftfoot,6,Gnomo,Bruxo,11,13,10,9,14,9
Raphael Stonefoot,6,Humano,Patrulheiro,10,14,10,10,14,8
Lae'zel Shadowdancer,12,Meio-Elfo,Clérigo,14,8,13,17,15,19
Danis Moonbreeze,3,Halfling,Druida,12,19,18,16,10,9
Viconia Anchev,12,Anão,Bruxo,9,9,17,12,8,14
Bhaal Brightwood,8,Tiefling,Bardo,9,19,8,9,18,19
Mizora Sunstrider,12,Gnomo,Bardo,18,11,13,10,16,8
Minsc Del'Vyre,7,Meio-Elfo,Bardo,13,15,19,15,8,13
Lae'zel Sunstrider,7,Dragonborn,Monge,15,18,10,11,18,11
Bhaal Nightbreeze,6,Dragonborn,Paladino,8,17,18,9,13,9
Ragzlin Firebrand,5,Elfo,Monge,18,13,11,9,16,10
Gale Del'Vyre,10,Tiefling,Monge,13,8,16,13,9,14
Barcus Darkweaver,8,Humano,Bruxo,19,17,10,15,11,13
Omeluum Stormwind,5,Elfo,Bruxo,9,12,8,14,9,13
Alfira Stoutbeard,9,Dragonborn,Ladino,9,14,10,11,11,15
Abdirak Spellweaver,9,Humano,Patrulheiro,14,13,14,9,9,15
Gale Stoutbeard,1,Elfo,Mago,17,19,14,16,19,13
Alfira Hallowtide,6,Humano,Bardo,8,16,18,11,8,8
Barcus Hallowtide,7,Halfling,Guerreiro,13,15,12,16,18,17
Dammon Del'Vyre,3,Tiefling,Druida,14,11,8,12,10,14
Halsin Ansur,7,Gnomo,Mago,15,18,18,19,15,15
Mizora Dekarios,11,Gnomo,Guerreiro,14,19,15,19,12,12
Rath Nightbreeze,11,Gnomo,Bruxo,13,12,17,18,11,18
Kagha Ravengard,7,Dragonborn,Mago,16,14,15,18,12,11
Volothamp Ansur,11,Halfling,Ladino,10,15,17,14,13,14
Rath Firebrand,2,Orc,Bardo,18,12,19,19,13,19
Astarion Ravengard,7,Tiefling,Paladino,13,16,17,12,12,19
Viconia Silverfrond,1,Meio-Elfo,Druida,11,17,17,9,19,18
Dror Stoutbeard,5,Githyanki,Guerreiro,9,19,9,13,18,13
Roah Stoutbeard,9,Orc,Feiticeiro,8,11,17,14,19,19
Cora Ravengard,7,Meio-Elfo,Bardo,19,11,10,18,13,13
Zevlor Brightwood,7,Gnomo,Ladino,19,15,11,13,16,10
Aradin Ansur,11,Meio-Elfo,Paladino,8,8,8,10,12,18
Voss Dekarios,12,Humano,Druida,18,15,11,17,13,17
Halsin Del'Vyre,2,Humano,Paladino,17,12,12,15,11,11
Bhaal Anchev,8,Meio-Elfo,Patrulheiro,10,18,10,10,10,12
Abdirak Stoutbeard,3,Anão,Ladino,11,8,18,12,19,16
Shadowheart Starseeker,8,Elfo,Ladino,9,11,17,16,13,15
Astarion Brightwood,3,Githyanki,Druida,19,9,9,18,18,10
Sarevok Anchev,10,Dragonborn,Bardo,18,11,13,12,18,13
Karlach Bloodaxe,7,Meio-Elfo,Bardo,18,15,15,14,12,17
Blurg Bloodaxe,2,Tiefling,Feiticeiro,18,12,14,18,11,8
Dammon Dekarios,4,Anão,Clérigo,8,8,18,14,12,10
Minsc Cliffgate,11,Halfling,Bardo,11,14,8,12,14,17
Voss Ironfist,6,Anão,Bardo,14,8,11,9,8,19
Alfira Del'Vyre,11,Githyanki,Patrulheiro,17,16,10,12,8,14
Bhaal Stoutbeard,9,Tiefling,Paladino,18,10,13,14,18,14
Gale Del'Vyre,5,Anão,Patrulheiro,13,19,16,14,8,9
Barcus Bloodaxe,9,Dragonborn,Bardo,13,10,16,11,9,10
Brem Silverfrond,5,Elfo,Feiticeiro,18,13,14,8,16,14
Mizora Silverfrond,10,Tiefling,Mago,16,17,19,13,12,19
Brem Anchev,8,Humano,Patrulheiro,9,13,16,10,16,13
Viconia Silverfrond,1,Dragonborn,Monge,11,18,15,18,12,14
Jaheira Darkweaver,7,Gnomo,Mago,12,18,12,12,14,17
Omeluum Cliffgate,4,Halfling,Guerreiro,8,13,16,11,13,16
Sazza Shadowdancer,5,Githyanki,Bruxo,15,8,14,9,9,15
Rath Anchev,6,Githyanki,Clérigo,15,12,12,19,10,13
Barcus Stoutbeard,5,Meio-Elfo,Guerreiro,13,19,15,14,12,19
Voss Spellweaver,12,Githyanki,Bruxo,19,13,14,12,11,11
Roah Starseeker,1,Githyanki,Patrulheiro,12,15,16,14,18,17
Voss Anchev,12,Elfo,Monge,15,8,17,16,13,16
Roah Swiftfoot,9,Halfling,Bruxo,10,12,8,11,15,14
Ragzlin Shadowdancer,2,Elfo,Bruxo,10,10,16,12,15,12
Volothamp Cliffgate,9,Humano,Guerreiro,9,9,14,16,10,9
Volothamp Anchev,10,Tiefling,Bardo,12,18,8,17,11,16
Shadowheart Anchev,2,Anão,Clérigo,10,15,8,18,8,14
Voss Silverfrond,9,Halfling,Paladino,10,14,12,11,9,16
Bhaal Sunstrider,6,Anão,Monge,13,17,15,12,16,18
Omeluum Firebrand,11,Gnomo,Feiticeiro,15,14,16,12,19,16
Mizora Anchev,9,Elfo,Bruxo,9,12,19,15,17,17
Wyll Hallowtide,6,Dragonborn,Bardo,11,19,13,11,17,12
Mizora Del'Vyre,6,Anão,Paladino,18,16,19,11,9,14
Gortash Stoutbeard,11,Dragonborn,Feiticeiro,14,12,17,14,19,12
Bex Starseeker,2,Meio-Elfo,Monge,8,9,19,18,13,10
Barcus Bloodaxe,8,Halfling,Bardo,8,10,15,12,14,17
Jaheira Sunstrider,3,Meio-Elfo,Bardo,19,11,13,13,13,15
Halsin Starseeker,7,Tiefling,Druida,17,12,18,13,15,15
Gale Windrunner,5,Meio-Elfo,Ladino,14,10,13,19,16,16
Elminster Hallowtide,3,Dragonborn,Bardo,14,19,11,13,15,18
Mizora Stonefoot,1,Githyanki,Paladino,8,14,18,17,12,19
Sarevok Hallowtide,8,Elfo,Clérigo,8,12,12,12,15,13
Danis Ansur,3,Meio-Elfo,Ladino,11,12,9,12,17,9
Danis Spellweaver,2,Tiefling,Monge,12,13,10,16,17,10
Aradin Brightwood,1,Halfling,Mago,12,14,10,15,16,18
Sazza Stonefoot,4,Orc,Patrulheiro,11,17,19,11,15,19
Sazza Silverfrond,8,Tiefling,Monge,15,17,18,14,9,17
Jaheira Stonefoot,3,Elfo,Bardo,14,15,12,15,9,18
Nere Darkweaver,1,Anão,Paladino,16,16,12,19,19,13
Nere Stonefoot,4,Humano,Bruxo,14,18,13,16,10,8
Raphael Darkweaver,9,Halfling,Guerreiro,17,11,12,12,14,9
Bex Nightbreeze,1,Dragonborn,Patrulheiro,8,12,19,10,16,15
Aradin Nightbreeze,12,Humano,Monge,14,12,13,11,15,18
Mizora Windrunner,11,Tiefling,Druida,8,15,15,17,16,15
Dror Spellweaver,2,Tiefling,Feiticeiro,14,16,9,13,13,13
Mizora Starseeker,9,Tiefling,Guerreiro,17,14,11,17,8,10
Karlach Starseeker,2,Humano,Patrulheiro,15,12,13,18,19,9
Alfira Swiftfoot,3,Meio-Elfo,Clérigo,18,10,19,12,11,13
Wyll Swiftfoot,7,Elfo,Bruxo,16,8,12,16,13,8
Voss Dekarios,3,Halfling,Druida,19,18,8,18,19,17
Elminster Stoutbeard,9,Elfo,Patrulheiro,10,16,16,18,13,13
Dror Windrunner,6,Halfling,Bardo,11,12,10,10,15,16
Aradin Goldseeker,3,Halfling,Patrulheiro,11,16,9,9,8,14
Ragzlin Goldseeker,9,Anão,Paladino,19,17,16,13,18,16
Lae'zel Stormwind,1,Tiefling,Paladino,16,19,14,14,9,9
Voss Bloodaxe,10,Orc,Paladino,14,11,12,12,9,18
Blurg Stormwind,3,Gnomo,Monge,10,12,19,8,13,12
Brem Bloodaxe,1,Elfo,Bruxo,17,11,13,10,18,16
Ragzlin Goldseeker,2,Anão,Bruxo,12,9,19,10,14,14
Zevlor Stonefoot,12,Tiefling,Feiticeiro,14,19,18,19,9,16
Voss Sunstrider,8,Githyanki,Monge,15,8,11,11,12,18
Mizora Firebrand,7,Githyanki,Bruxo,8,15,8,17,13,13
Bex Windrunner,2,Meio-Elfo,Paladino,19,11,11,13,11,14
Dammon Dekarios,2,Humano,Paladino,9,12,16,12,8,17
Cora Silverfrond,9,Githyanki,Mago,14,13,8,8,10,12
Mizora Starseeker,6,Dragonborn,Patrulheiro,18,15,17,13,17,13
Gale Stoutbeard,5,Tiefling,Feiticeiro,9,18,10,16,16,8
Volothamp Stormwind,10,Gnomo,Bruxo,14,15,12,18,13,8
Roah Moonbreeze,6,Orc,Ladino,16,14,14,8,9,9
Zevlor Starseeker,9,Tiefling,Feiticeiro,18,11,16,15,16,18
Gale Bloodaxe,11,Githyanki,Paladino,9,13,13,15,11,11
Rath Anchev,7,Gnomo,Patrulheiro,14,11,10,10,18,18
Brem Stormwind,10,Orc,Guerreiro,11,14,14,16,15,16
Dammon Sunstrider,10,Meio-Elfo,Druida,18,19,11,18,17,14
Danis Anchev,9,Meio-Elfo,Ladino,9,19,10,18,14,13
Cora Ironfist,4,Anão,Ladino,14,18,14,15,19,8
Shadowheart Brightwood,2,Orc,Druida,12,8,18,10,18,12
Nere Moonbreeze,12,Orc,Monge,8,12,18,17,10,18
Shadowheart Spellweaver,8,Dragonborn,Bruxo,12,17,14,12,15,19
Abdirak Firebrand,4,Orc,Ladino,19,19,11,10,11,11
Elminster Nightbreeze,9,Githyanki,Guerreiro,19,17,19,12,9,12
Rath Spellweaver,4,Dragonborn,Patrulheiro,10,11,14,16,18,18
Mizora Stormwind,8,Orc,Feiticeiro,14,18,18,19,12,16
Minsc Windrunner,9,Elfo,Monge,13,14,9,11,8,19
Kagha Cliffgate,9,Anão,Bardo,15,16,8,13,15,10
Ragzlin Spellweaver,10,Anão,Bardo,12,12,19,10,15,11
Abdirak Starseeker,4,Elfo,Druida,9,11,9,10,10,15
Voss Sunstrider,1,Dragonborn,Patrulheiro,16,16,11,12,8,10
Roah Stormwind,3,Meio-Elfo,Patrulheiro,18,12,15,15,11,10
Brem Stoutbeard,9,Elfo,Bardo,15,16,10,15,16,16
Ketheric Brightwood,4,Tiefling,Ladino,13,15,17,10,16,12
Halsin Cliffgate,5,Humano,Bruxo,17,11,13,15,8,17
Omeluum Ravengard,7,Gnomo,Druida,14,18,13,18,18,8
Barcus Moonbreeze,5,Meio-Elfo,Bardo,16,18,16,15,14,14
Astarion Nightbreeze,4,Meio-Elfo,Patrulheiro,14,14,16,10,13,14
Jaheira Ironfist,2,Halfling,Monge,10,12,11,17,14,13
Bhaal Nightbreeze,2,Meio-Elfo,Guerreiro,13,17,16,17,14,13
Gortash Ansur,4,Anão,Monge,18,11,13,9,15,10
Sarevok Ironfist,10,Meio-Elfo,Monge,18,12,9,17,15,10
Cora Darkweaver,10,Tiefling,Bruxo,14,12,17,9,17,17
Orin Brightwood,9,Meio-Elfo,Feiticeiro,9,18,18,16,18,18
Dror Anchev,8,Orc,Druida,10,16,13,14,9,16
Raphael Moonbreeze,3,Anão,Bardo,11,19,9,13,19,8
Shadowheart Dekarios,9,Elfo,Paladino,17,16,15,14,19,14
Dammon Dekarios,5,Elfo,Feiticeiro,13,13,11,15,19,19
Cora Stormwind,11,Githyanki,Patrulheiro,8,11,12,19,11,18
Danis Firebrand,3,Humano,Monge,16,9,15,8,11,17
Roah Darkweaver,5,Humano,Monge,12,10,18,15,18,14
Danis Silverfrond,10,Orc,Druida,19,9,15,10,17,15
Danis Darkweaver,4,Humano,Feiticeiro,14,12,19,10,19,13
Lae'zel Spellweaver,8,Meio-Elfo,Clérigo,16,13,19,13,15,15
Orin Cliffgate,12,Elfo,Patrulheiro,16,18,13,11,10,8
Blurg Shadowdancer,5,Meio-Elfo,Guerreiro,8,12,11,11,19,8
Mizora Sunstrider,10,Halfling,Paladino,8,9,8,11,19,16
Jaheira Moonbreeze,12,Githyanki,Bardo,10,19,19,17,10,19
Karlach Darkweaver,8,Elfo,Mago,13,12,14,16,9,11
Kagha Ravengard,9,Humano,Mago,9,16,15,15,8,10
Wyll Spellweaver,4,Gnomo,Patrulheiro,17,11,16,10,15,13
Lae'zel Starseeker,7,Meio-Elfo,Bardo,19,19,9,8,16,17
Dammon Ansur,2,Tiefling,Feiticeiro,18,17,8,8,16,19
Aradin Nightbreeze,6,Gnomo,Clérigo,8,9,11,8,18,19
Voss Sunstrider,8,Tiefling,Guerreiro,8,10,12,11,15,16
Rath Starseeker,12,Halfling,Feiticeiro,12,10,17,13,12,17
Bhaal Swiftfoot,7,Humano,Paladino,11,16,19,11,8,18
Ketheric Firebrand,7,Meio-Elfo,Feiticeiro,8,11,8,18,16,11
Aradin Starseeker,8,Meio-Elfo,Clérigo,11,8,12,18,13,16
Alfira Stonefoot,7,Tiefling,Paladino,10,8,13,10,19,12
Elminster Stonefoot,5,Meio-Elfo,Mago,9,14,10,15,14,14
Alfira Ironfist,7,Halfling,Ladino,16,14,19,15,15,10
Dror Silverfrond,10,Anão,Mago,18,9,14,13,12,10
Abdirak Ravengard,3,Anão,Ladino,8,16,13,16,13,19
Blurg Ansur,5,Tiefling,Bardo,14,16,11,19,19,10
Abdirak Sunstrider,7,Humano,Patrulheiro,11,12,10,17,14,15
Cora Moonbreeze,9,Tiefling,Mago,12,10,12,8,14,13
Minsc Ironfist,2,Dragonborn,Druida,17,10,10,15,9,16
Sarevok Spellweaver,4,Meio-Elfo,Clérigo,12,19,17,13,18,16
Astarion Dekarios,12,Meio-Elfo,Druida,8,10,16,8,19,15
Astarion Firebrand,7,Anão,Bardo,13,13,16,11,8,8
Raphael Nightbreeze,1,Gnomo,Feiticeiro,16,11,13,12,15,13
Dammon Brightwood,2,Tiefling,Monge,9,15,18,14,12,11
Roah Stonefoot,9,Humano,Druida,14,18,13,15,17,11
Rath Goldseeker,10,Anão,Feiticeiro,13,18,19,16,9,10
Astarion Darkweaver,7,Tiefling,Bardo,12,18,11,19,10,19
Bhaal Darkweaver,12,Elfo,Monge,11,12,11,19,13,16
Kagha Moonbreeze,10,Humano,Ladino,11,8,9,13,17,9
