nome_personagem,classe,raca,nivel,forca,destreza,constituicao,inteligencia,sabedoria,carisma
Personagem_205,Guerreiro,Humano,2.0,18.0,10,17,9,8,10
Personagem_206,Ladino,Halfling,2.0,8.0,12,10,15,7,13
Personagem_207,Druida,Anão,10.0,11.0,14,13,8,17,8
Personagem_208,Ladino,Draconato,5.0,9.0,15,14,11,7,12
Personagem_209,Patrulheiro,Halfling,1.0,12.0,16,15,6,16,8
Personagem_210,Mago,Tiefling,6.0,10.0,16,12,17,10,12
Personagem_211,Patrulheiro,Tiefling,7.0,10.0,15,14,5,14,9
Personagem_212,Bardo,Anão,8.0,10.0,14,9,11,10,18
Personagem_213,Guerreiro,Githyanki,1.0,18.0,9,19,8,9,8
Personagem_214,Mago,Anão,5.0,6.0,13,9,16,8,9
Personagem_215,Feiticeiro,Elfo,10.0,10.0,12,13,8,10,20
Personagem_216,Druida,Tiefling,,11.0,10,14,10,19,10
Personagem_217,Bruxo,Halfling,12.0,6.0,12,14,10,8,19
Personagem_218,Guerreiro,Halfling,13.0,19.0,13,15,9,10,9
Personagem_219,Guerreiro,Elfo,12.0,16.0,11,13,10,10,10
Personagem_220,Patrulheiro,Draconato,10.0,13.0,150,13,9,18,9
Personagem_221,Bardo,Humano,8.0,9.0,12,14,12,5,15
Personagem_222,Monge,Anão,9.0,10.0,16,12,8,13,9
Personagem_223,Patrulheiro,Draconato,3.0,10.0,15,15,13,17,4
Personagem_224,Guerreiro,Githyanki,3.0,20.0,11,15,8,8,8
Personagem_225,Clérigo,Tiefling,3.0,11.0,9,14,13,18,10
Personagem_226,Druida,Tiefling,5.0,8.0,9,17,11,14,9
Personagem_227,Patrulheiro,Halfling,4.0,10.0,15,10,8,15,11
Personagem_228,Druida,Draconato,7.0,12.0,10,13,12,15,7
Personagem_229,Clérigo,Tiefling,7.0,7.0,11,14,9,20,10
Personagem_230,Paladino,Githyanki,5.0,15.0,10,14,6,11,16
Personagem_231,Clérigo,Halfling,7.0,15.0,12,12,12,17,14
Personagem_232,Clérigo,Humano,8.0,12.0,10,13,9,16,11
Personagem_233,Druida,Draconato,6.0,8.0,12,17,12,14,8
Personagem_234,Ladino,Githyanki,4.0,9.0,15,14,9,12,12
Personagem_235,Druida,Tiefling,1.0,9.0,11,14,9,17,9
Personagem_236,Monge,Tiefling,4.0,9.0,15,7,11,17,5
Personagem_237,Bardo,Humano,1.0,9.0,15,12,10,7,15
Personagem_238,Mago,Halfling,6.0,10.0,12,16,14,11,10
Personagem_239,Ladino,,11.0,10.0,15,9,11,9,13
Personagem_240,Bruxo,Elfo,4.0,7.0,13,16,9,14,15
Personagem_241,Mago,Githyanki,8.0,7.0,150,14,13,8,8
Personagem_242,Bardo,Githyanki,9.0,10.0,13,12,6,8,20
Personagem_243,Patrulheiro,Draconato,8.0,6.0,14,16,8,12,8
Personagem_244,Monge,Githyanki,12.0,12.0,16,10,7,13,10
Personagem_245,Monge,Anão,2.0,11.0,18,11,5,16,10
Personagem_246,Bruxo,Githyanki,11.0,9.0,10,13,8,11,16
Personagem_247,Ladino,Halfling,7.0,14.0,13,12,13,10,12
Personagem_248,Paladino,Anão,2.0,17.0,14,16,3,10,16
Personagem_249,Clérigo,Tiefling,3.0,12.0,6,15,12,17,8
Personagem_250,Ladino,Humano,9.0,6.0,17,11,10,8,10
Personagem_251,Paladino,Tiefling,11.0,19.0,11,13,10,12,15
Personagem_252,Monge,Tiefling,6.0,13.0,18,12,10,19,10
Personagem_253,Druida,Elfo,3.0,11.0,12,12,10,16,8
Personagem_254,Bardo,Tiefling,2.0,10.0,13,10,13,7,16
Personagem_255,Bruxo,Githyanki,5.0,7.0,14,13,10,9,16
Personagem_256,Bardo,Tiefling,6.0,11.0,16,9,11,6,17
Personagem_257,Feiticeiro,Elfo,4.0,5.0,11,17,10,9,17
Personagem_258,Feiticeiro,Halfling,8.0,4.0,11,13,8,9,16
Personagem_259,Patrulheiro,Halfling,5.0,16.0,17,13,10,15,9
Personagem_260,Ladino,Elfo,5.0,9.0,17,13,7,10,17
Personagem_261,Monge,Anão,5.0,10.0,14,12,6,17,10
Personagem_262,Monge,Githyanki,4.0,11.0,14,14,11,17,8
Personagem_263,Clérigo,Draconato,8.0,12.0,11,15,7,20,8
Personagem_264,Clérigo,Humano,8.0,15.0,9,15,11,19,14
Personagem_265,Clérigo,Githyanki,5.0,11.0,10,11,7,14,11
Personagem_266,Druida,Elfo,4.0,7.0,13,15,9,14,8
Personagem_267,Mago,Draconato,6.0,8.0,11,13,16,9,8
Personagem_268,Guerreiro,Anão,6.0,16.0,12,17,12,6,6
Personagem_269,Mago,Tiefling,7.0,9.0,13,11,19,13,11
Personagem_270,Bardo,Tiefling,5.0,8.0,16,9,10,10,18
Personagem_271,Mago,draconato,8.0,9.0,14,14,18,10,7
Personagem_272,Druida,Anão,4.0,12.0,9,12,11,19,8
Personagem_273,Patrulheiro,Tiefling,9.0,13.0,16,13,11,17,9
Personagem_274,Bardo,Halfling,5.0,8.0,15,12,7,10,15
Personagem_275,Mago,Draconato,5.0,9.0,11,13,15,11,8
Personagem_276,Druida,Tiefling,2.0,5.0,11,13,10,14,6
Personagem_277,Guerreiro, elfo ,3.0,18.0,12,13,7,10,8
Personagem_278,Mago,Elfo,1.0,11.0,14,11,15,10,7
Personagem_279,Druida,Halfling,5.0,13.0,15,15,10,14,9
Personagem_280,Clérigo,Humano,9.0,11.0,10,12,10,14,8
Personagem_281,Monge,Githyanki,9.0,13.0,16,16,9,18,8
Personagem_282,Clérigo,Tiefling,13.0,15.0,7,13,9,17,13
Personagem_283,Monge,Elfo,12.0,12.0,16,14,10,17,5
Personagem_284,Bruxo,Humano,7.0,7.0,11,15,8,13,18
Personagem_285,Bruxo,Githyanki,8.0,10.0,12,11,6,8,11
Personagem_286,Bruxo,Humano,8.0,6.0,15,14,9,8,14
Personagem_287,Guerreiro,Tiefling,2.0,17.0,9,16,8,12,11
Personagem_288,Clérigo,Halfling,4.0,13.0,13,14,11,14,12
Personagem_289,Monge,Halfling,5.0,12.0,18,11,9,15,10
Personagem_290,Druida,Anão,11.0,9.0,11,10,10,20,8
Personagem_291,Bardo,Draconato,6.0,10.0,10,11,11,11,18
Personagem_292,Druida,Githyanki,8.0,11.0,13,14,13,18,4
Personagem_293,Bardo,Tiefling,5.0,12.0,17,8,15,8,20
Personagem_294,Feiticeiro,Draconato,5.0,5.0,14,16,8,7,16
Personagem_295,Druida,Halfling,1.0,11.0,14,14,15,18,11
Personagem_296,Mago,Tiefling,10.0,9.0,11,13,19,12,8
Personagem_297,Mago,Anão,12.0,7.0,13,15,17,11,8
Personagem_298,Ladino,Halfling,17.0,8.0,15,13,14,8,8
Personagem_299,Clérigo,Anão,9.0,12.0,10,13,9,17,9
Personagem_300,Bardo,Githyanki,5.0,8.0,15,11,9,13,17
Personagem_301,Bardo,Humano,9.0,9.0,13,15,11,11,15
Personagem_302,Patrulheiro,Draconato,7.0,10.0,18,15,12,15,10
Personagem_303,Clérigo,Anão,6.0,13.0,7,14,12,20,11
Personagem_304,Guerreiro,Elfo,14.0,17.0,8,17,7,13,8
Personagem_305,Ladino,Draconato,8.0,10.0,16,14,14,8,13
Personagem_306,Guerreiro,Draconato,6.0,18.0,12,16,8,9,13
Personagem_307,Guerreiro,Elfo,2.0,19.0,11,14,5,4,11
Personagem_308,Guerreiro,Halfling,8.0,16.0,14,16,6,8,10
Personagem_309,Clérigo,,2.0,9.0,12,12,11,17,11
Personagem_310,Guerreiro,Tiefling,5.0,16.0,11,19,12,7,7
Personagem_311,Mago,Tiefling,5.0,8.0,14,15,13,12,12
Personagem_312,Patrulheiro,Elfo,6.0,8.0,10,11,11,16,8
Personagem_313,Patrulheiro,Tiefling,2.0,11.0,15,12,10,11,9
Personagem_314,Bruxo,Elfo,5.0,11.0,9,14,9,10,18
Personagem_315,Feiticeiro,Githyanki,10.0,8.0,15,13,11,10,15
Personagem_316,Bardo,Elfo,7.0,8.0,17,10,14,11,14
Personagem_317,Bardo,Halfling,6.0,12.0,16,9,10,9,14
Personagem_318,Feiticeiro,Anão,6.0,7.0,14,13,10,8,18
Personagem_319,Clérigo,Halfling,10.0,12.0,11,14,12,16,9
Personagem_320,Druida,Elfo,10.0,13.0,9,15,8,15,5
Personagem_321,Clérigo,Draconato,3.0,10.0,12,13,12,16,10
Personagem_322,Bardo,Humano,3.0,8.0,20,11,9,10,16
Personagem_323,Bardo,Halfling,5.0,5.0,14,9,9,9,18
Personagem_324,Feiticeiro,Githyanki,7.0,9.0,10,14,9,10,16
Personagem_325,Guerreiro,Githyanki,6.0,16.0,13,10,9,10,12
Personagem_326,Clérigo,Githyanki,7.0,14.0,9,13,6,18,14
Personagem_327,Monge,Elfo,6.0,13.0,16,11,10,15,10
Personagem_328,Feiticeiro,Tiefling,5.0,6.0,10,16,10,12,20
Personagem_329,Mago,Draconato,5.0,6.0,13,16,15,11,10
Personagem_330,Bardo,Tiefling,5.0,8.0,14,11,10,6,16
Personagem_331,Feiticeiro,Anão,7.0,6.0,12,12,9,10,20
Personagem_332,Clérigo,Draconato,4.0,9.0,9,12,10,19,15
Personagem_333,Bardo,Anão,1.0,14.0,16,11,10,11,18
Personagem_334,Druida,Draconato,,3.0,13,14,8,15,7
Personagem_335,Feiticeiro,,4.0,8.0,13,11,6,10,15
Personagem_336,Ladino,Tiefling,5.0,12.0,16,10,10,12,11
Personagem_337,Bardo,Tiefling,6.0,10.0,18,11,11,6,12
Personagem_338,Clérigo,Tiefling,9.0,12.0,9,13,8,17,10
Personagem_339,Bruxo,Elfo,10.0,7.0,12,11,9,6,16
Personagem_340,Monge,Tiefling,11.0,13.0,16,15,7,17,7
Personagem_341,Paladino,Elfo,6.0,20.0,10,14,11,11,16
Personagem_342,Guerreiro,Halfling,3.0,18.0,12,13,12,9,8
Personagem_343,Paladino,Humano,5.0,17.0,8,12,5,9,19
Personagem_344,Clérigo,Githyanki,7.0,12.0,9,14,8,17,15
Personagem_345,Mago,Elfo,12.0,4.0,16,14,15,12,9
Personagem_346,Mago,Draconato,7.0,11.0,12,12,19,12,9
Personagem_347,Bruxo,Draconato,4.0,6.0,14,18,10,8,15
Personagem_348,Guerreiro,Tiefling,4.0,14.0,13,13,4,12,8
Personagem_349,Ladino,Anão,6.0,5.0,17,13,11,12,10
Personagem_350,Bruxo,Anão,9.0,7.0,14,14,10,7,16
Personagem_351,Patrulheiro,Anão,5.0,7.0,17,15,12,18,9
Personagem_352,Paladino,Tiefling,11.0,19.0,10,15,6,10,19
Personagem_353,Bruxo,Githyanki,6.0,5.0,11,12,6,10,16
Personagem_354,Paladino,,1.0,15.0,6,13,7,8,17
Personagem_355,Bardo,Draconato,3.0,13.0,14,10,9,11,15
Personagem_356,Mago,Elfo,8.0,6.0,14,9,15,9,10
Personagem_357,Bardo,Halfling,4.0,9.0,15,14,9,9,18
Personagem_358,Monge,Tiefling,7.0,12.0,18,14,5,15,6
Personagem_359,Patrulheiro,Githyanki,4.0,8.0,16,14,11,16,9
Personagem_360,Guerreiro,Tiefling,4.0,16.0,13,13,4,10,12
Personagem_361,Ladino,Anão,8.0,10.0,19,15,12,8,11
Personagem_362,Paladino,Anão,6.0,18.0,10,14,11,9,12
Personagem_363,Ladino,Tiefling,5.0,4.0,19,10,14,11,11
Personagem_364,Paladino,Draconato,3.0,14.0,10,14,9,11,17
Personagem_365,Clérigo,Elfo,5.0,9.0,10,10,9,19,13
Personagem_366,Bruxo,Githyanki,1.0,11.0,14,15,11,9,14
Personagem_367,Monge,Githyanki,9.0,11.0,18,13,6,13,5
Personagem_368,Mago,Elfo,8.0,4.0,13,14,18,13,10
Personagem_369,Paladino,Elfo,3.0,15.0,10,13,6,11,19
Personagem_370,Ladino,Elfo,10.0,9.0,15,14,14,11,12
Personagem_371,Monge,Halfling,2.0,13.0,13,13,7,17,8
Personagem_372,Druida,Elfo,1.0,9.0,11,12,9,15,10
Personagem_373,Druida,Githyanki,7.0,8.0,14,15,9,13,9
Personagem_374,Bardo,Elfo,6.0,5.0,14,11,11,7,18
Personagem_375,Mago,Halfling,8.0,7.0,11,15,15,10,9
Personagem_376,Clérigo,Humano,3.0,12.0,8,17,9,17,14
Personagem_377,Ladino,Halfling,10.0,6.0,20,13,14,12,14
Personagem_378,Bruxo,Githyanki,,,10,11,9,9,16
Personagem_379,Bruxo,Humano,8.0,7.0,13,13,10,11,14
Personagem_380,Ladino,Githyanki,12.0,9.0,15,12,10,11,10
Personagem_381,Guerreiro,Halfling,6.0,16.0,13,17,7,11,12
Personagem_382,Clérigo,Humano,2.0,12.0,10,14,8,16,10
Personagem_383,Monge,Humano,10.0,11.0,14,12,10,14,7
Personagem_384,Paladino,Elfo,5.0,13.0,6,18,9,11,14
Personagem_385,Guerreiro,Githyanki,8.0,17.0,15,15,12,9,8
Personagem_386,Paladino,Humano,8.0,16.0,13,15,6,12,16
Personagem_387,Paladino,Draconato,7.0,18.0,9,16,12,13,13
Personagem_388,Guerreiro,Halfling,5.0,15.0,11,14,11,7,10
Personagem_389,Bardo,Humano,8.0,7.0,12,14,11,11,19
Personagem_390,Druida,Elfo,1.0,9.0,11,13,14,15,10
Personagem_391,Paladino,Githyanki,3.0,15.0,8,11,9,9,19
Personagem_392,Guerreiro,Halfling,8.0,15.0,16,13,8,7,12
