area_m2,quartos,distancia_km,valor_aluguel
94.8,3,10.47,1364.66
66.3,2,0.31,1472.39
63.4,3,1.62,1316.15
96.4,4,1.27,1744.63
70.2,2,0.53,1396.21
43.1,1,1.56,681.72
46.7,1,2.28,745.82
52.0,2,2.35,1162.55
87.4,2,0.3,1389.82
78.6,2,4.37,1243.22
92.3,3,1.04,1760.0
64.3,3,3.17,1510.11
79.0,5,3.92,1999.22
90.6,3,5.43,1523.82
67.3,3,2.86,1553.16
86.4,3,0.52,1571.26
58.5,2,0.3,1476.69
65.9,3,2.99,1220.71
65.5,2,9.52,1300.91
45.1,2,21.0,414.75
87.2,3,7.87,1837.46
63.3,1,2.66,1170.51
75.3,2,16.05,931.06
87.0,3,14.38,1311.85
86.2,3,8.72,1623.57
91.6,3,14.8,1585.22
72.5,3,8.25,1350.35
64.4,3,4.47,1344.19
73.0,3,9.3,1457.8
32.8,1,5.97,437.05
38.8,2,13.76,400.0
41.9,2,1.47,754.7
50.1,2,0.9,1085.32
85.0,4,3.66,1927.42
52.4,3,0.72,1476.81
65.5,3,3.74,1485.73
107.5,4,6.81,1930.25
66.1,3,11.44,1319.93
93.4,4,21.0,1348.42
51.7,1,2.27,885.22
69.9,3,2.89,1322.39
51.2,1,2.63,704.23
66.5,2,0.3,1368.15
96.0,4,1.04,1940.09
31.8,2,0.64,749.82
85.9,4,4.94,1808.33
80.9,3,3.36,1603.6
60.1,1,16.85,806.43
38.8,1,0.3,686.81
76.8,3,1.91,1614.23
61.8,2,3.03,1083.16
80.8,4,5.46,1715.35
75.5,2,1.57,1504.67
115.0,4,2.25,1947.72
69.0,2,1.6,1330.5
49.4,2,6.91,811.63
79.5,3,1.58,1511.68
80.5,2,7.45,1164.02
109.0,4,7.49,2074.53
95.9,3,4.56,1853.74
83.9,3,2.19,1706.33
111.6,5,0.7,2491.09
45.3,2,3.39,876.24
59.0,2,6.74,1523.5
51.8,1,30.0,400.0
65.3,2,2.24,1297.32
40.6,1,0.86,662.04
90.9,3,0.55,1789.77
69.4,3,13.31,1335.65
38.2,1,4.12,578.06
49.6,3,2.12,1420.69
82.8,3,3.52,1620.45
96.0,3,2.44,1782.04
124.9,4,3.32,1962.61
147.8,5,5.85,2397.58
85.4,4,1.53,1776.08
50.3,1,8.09,664.22
28.0,1,9.47,400.0
81.7,3,0.87,2031.61
54.7,2,0.95,1088.49
64.6,3,3.4,1145.28
59.7,2,8.16,943.38
71.5,2,2.69,1323.05
101.6,4,30.0,1408.17
78.9,3,9.87,1484.68
71.0,3,0.32,1618.1
49.1,2,5.26,839.26
33.1,1,7.95,432.98
62.8,2,0.82,1123.74
73.7,3,11.33,1215.03
119.2,4,1.47,1959.96
78.3,3,1.4,1402.67
99.6,4,5.64,2003.83
62.5,1,0.4,1223.37
45.4,1,6.26,849.97
50.9,1,1.68,913.05
56.9,2,1.43,1269.46
128.2,4,7.23,1772.21
54.5,1,4.1,1044.88
96.0,3,7.61,1654.29
52.4,1,4.7,960.91
98.3,5,12.85,1870.76
84.6,4,9.55,1463.22
71.1,2,2.95,1095.31
74.0,2,6.28,1175.92
58.6,1,0.73,1139.57
86.2,2,7.23,1502.69
63.6,2,0.7,1063.99
44.4,1,0.3,667.38
43.1,1,3.09,617.94
79.3,2,2.61,1372.13
114.5,4,6.82,1739.4
79.0,3,0.51,1395.21
72.0,3,13.75,1110.46
82.1,3,11.0,1425.31
107.7,3,16.64,1355.48
80.5,3,0.6,1606.09
64.7,2,2.57,1402.26
102.7,4,1.13,1775.74
85.7,3,1.47,1629.69
113.4,3,3.5,2021.78
79.6,3,1.84,1523.33
44.4,2,1.5,842.1
40.8,2,2.67,1000.83
116.3,4,4.58,1961.1
118.1,5,1.11,2402.87
70.5,3,2.43,1528.17
65.4,2,3.77,1175.34
111.5,4,12.4,1869.01
47.3,3,4.61,1104.74
52.6,3,16.6,1041.61
91.1,3,17.94,1271.06
65.1,2,1.3,1283.15
74.9,4,0.58,1689.78
70.9,2,17.69,1098.82
83.4,2,14.55,1054.64
110.2,4,24.89,1664.27
77.3,3,8.57,1481.57
91.1,3,0.64,1536.38
28.0,1,5.68,462.5
73.8,2,4.52,1654.13
53.9,1,10.49,915.15
44.5,1,1.29,1008.84
53.0,3,1.14,1248.22
66.6,3,5.1,1104.64
97.9,4,0.79,1658.79
41.8,1,0.86,786.18
75.8,3,13.89,1188.14
62.9,2,16.4,776.64
66.8,1,12.4,906.55
100.1,3,7.85,1752.42
88.5,2,2.36,1312.1
108.4,3,2.42,1783.91
71.1,2,11.24,1364.11
57.6,3,21.0,712.11
69.4,2,0.3,1486.99
81.1,4,29.02,1072.2
79.4,3,1.27,1678.21
47.9,2,10.59,961.06
77.3,2,1.45,1539.45
80.7,3,2.72,1715.43
137.9,5,6.19,2092.19
121.9,4,1.67,2280.42
53.7,2,14.59,683.42
67.8,3,0.93,1500.61
38.4,1,0.42,719.98
60.2,1,19.23,744.85
82.9,2,9.9,1355.85
105.1,4,2.83,1827.82
56.8,2,3.84,895.86
58.6,2,6.54,1197.87
28.0,1,9.66,400.0
70.9,3,2.85,1632.08
48.4,2,6.13,897.21
61.8,3,1.9,1146.17
53.1,3,0.3,1400.51
72.6,2,10.87,1109.01
31.1,2,0.66,677.5
38.3,1,0.3,584.42
128.2,5,13.12,2293.47
42.8,2,13.84,492.15
47.6,1,3.58,754.41
120.9,3,4.87,1911.68
147.6,5,2.68,2239.5
45.7,1,3.19,826.52
65.8,3,1.66,1660.46
83.5,4,1.47,1703.69
118.2,4,2.48,2127.08
50.3,2,10.76,424.3
68.9,2,19.23,927.72
94.4,3,9.68,1520.1
85.9,4,7.37,1550.18
65.6,2,3.91,1388.65
71.7,4,2.03,1578.88
40.6,1,6.02,581.56
69.0,3,0.4,1432.55
68.3,2,23.17,551.49
80.8,3,7.41,1307.19
61.1,2,12.63,1114.8
86.8,3,0.3,1381.39
100.3,4,0.63,1845.77
78.9,2,8.54,1230.76
83.8,3,0.3,1927.77
76.3,3,4.6,1602.53
75.0,3,1.53,1455.74
57.0,3,2.25,1472.16
82.9,4,7.49,1527.25
72.6,2,1.64,1518.99
127.3,5,2.27,2075.35
114.3,4,5.78,2126.01
84.6,3,1.05,1597.35
55.9,2,7.32,853.12
47.2,3,11.31,874.8
104.8,4,14.35,1739.98
81.6,3,4.52,1475.23
87.0,4,1.51,1896.42
31.4,1,1.1,400.0
98.2,2,1.08,1744.83
86.4,4,0.3,1900.05
47.2,2,8.09,829.07
63.2,2,4.02,1124.26
81.6,2,13.13,1242.75
76.3,3,0.77,1654.04
67.7,4,18.27,1528.14
72.4,3,3.45,1606.23
68.7,3,0.7,1625.01
78.8,3,0.3,2074.13
111.8,4,1.32,2120.63
28.0,1,11.38,400.0
69.1,3,1.32,1575.79
79.4,3,7.37,1310.8
82.4,2,0.49,1440.29
65.7,2,3.5,1160.9
31.1,1,5.89,468.28
83.2,2,10.49,1269.45
118.2,4,6.46,2000.99
36.7,1,0.3,806.25
96.6,4,9.03,1871.57
66.8,3,0.3,1437.91
73.5,2,1.19,1288.11
48.7,1,14.42,757.39
66.6,2,7.5,1277.15
107.5,5,7.02,1781.6
89.6,2,4.18,1454.12
118.3,4,7.27,1988.02
104.4,3,1.2,1961.06
86.0,4,4.62,1871.02
118.6,4,2.66,2109.48
86.0,3,2.37,1731.79
95.7,4,6.4,1801.15
67.6,4,1.74,1480.12
76.7,3,5.75,1427.45
57.6,2,3.14,1129.17
99.7,3,29.65,1171.68
45.5,2,1.6,665.14
94.6,3,0.44,1712.62
70.2,2,13.3,1089.28
104.3,4,20.49,1516.79
93.8,2,6.75,1448.76
120.5,4,0.3,2206.32
93.3,4,0.3,1741.03
35.7,1,0.65,400.0
73.3,2,12.7,1080.71
45.7,2,21.14,636.66
62.0,3,0.92,1634.55
112.8,3,1.05,2034.51
90.9,3,1.3,1497.18
57.5,3,11.68,1042.02
49.7,2,5.88,971.77
75.8,3,5.57,1486.62
44.6,3,0.3,1179.49
58.2,2,3.66,986.65
82.8,3,4.02,1583.32
103.9,5,1.63,2173.51
90.2,3,0.3,1856.31
28.0,1,6.35,400.0
82.6,3,6.16,1472.55
76.8,3,2.17,1141.0
85.3,3,10.66,1361.05
115.4,4,9.85,1805.43
28.0,2,7.9,400.0
60.2,2,3.81,1176.16
89.8,3,29.01,1088.45
35.5,2,1.77,400.0
111.9,4,3.89,2019.82
84.2,3,11.72,1280.02
96.2,4,8.58,1821.11
60.7,1,4.16,818.78
95.3,4,5.56,1810.74
101.7,5,10.02,1864.14
80.8,3,3.72,1603.64
80.9,3,0.74,1643.55
81.8,3,1.5,1579.81
53.4,2,4.79,791.44
71.3,2,0.32,1158.82
71.2,2,6.45,1156.69
84.6,4,0.51,1808.91
100.0,3,2.51,1685.43
48.5,2,6.21,997.8
71.9,2,1.16,1327.58
112.0,4,4.38,1832.77
56.4,1,30.0,400.0
54.4,3,0.41,1308.82
80.1,4,5.89,1691.33
96.1,4,6.47,2075.5
75.3,2,6.61,1190.81
108.2,4,17.93,1637.33
96.4,4,7.58,1836.05
96.0,2,19.93,1213.17
88.9,3,4.21,1558.28
133.2,5,4.38,2041.15
69.9,3,21.97,949.63
28.0,1,5.67,400.0
115.1,4,2.03,1794.8
63.6,3,8.88,1109.87
77.7,4,6.13,1452.88
107.7,2,7.87,1673.08
34.9,1,5.65,570.33
43.7,1,11.33,422.0
35.0,1,2.96,502.89
55.1,2,1.17,850.99
86.0,4,1.53,1728.33
88.1,2,7.72,1467.87
81.9,3,6.04,1643.04
39.7,1,18.68,400.0
28.0,1,4.61,462.57
76.4,4,1.96,1459.14
63.2,2,26.0,519.76
86.5,3,15.76,1461.09
92.5,2,10.5,1641.39
78.5,4,14.09,1518.06
94.0,4,3.23,1839.09
80.7,3,1.84,1269.14
88.3,3,2.49,1361.75
57.4,1,13.65,771.38
70.5,3,9.26,1259.85
79.9,3,0.39,1455.48
95.5,3,7.13,1643.42
65.2,2,2.12,1277.58
88.0,3,20.45,1408.6
68.4,3,9.61,1299.14
72.1,3,6.89,1570.16
95.7,4,4.83,1827.27
28.0,1,1.3,400.0
42.6,2,7.62,915.91
37.9,1,4.76,427.2
28.0,2,11.22,721.54
58.0,1,2.56,1061.6
93.7,4,6.86,1819.53
67.9,3,0.67,1547.49
79.9,2,1.45,1739.6
102.2,5,1.4,2219.55
108.2,4,2.73,1742.0
73.3,3,12.59,1485.88
108.8,4,3.93,1910.2
77.3,3,4.68,1513.27
54.1,2,0.52,935.66
60.1,2,3.76,1229.85
38.0,2,4.12,632.71
52.8,2,2.58,1075.36
66.0,2,6.63,1129.45
95.1,4,4.27,2121.48
118.0,5,1.11,2533.77
40.4,2,5.65,758.86
84.8,3,4.35,1597.4
49.0,2,2.58,937.09
86.9,3,0.3,1864.82
71.7,2,3.3,1270.54
29.2,1,14.97,400.0
98.2,4,11.18,1856.37
59.9,2,5.33,1032.64
61.7,2,1.3,1223.02
48.3,1,9.11,459.3
58.6,1,10.45,946.62
85.7,4,0.3,2117.53
70.3,2,15.87,1133.77
83.2,3,16.8,1516.03
84.0,2,1.53,1374.39
108.0,5,2.7,2157.2
66.4,2,0.43,1172.43
38.1,2,9.93,570.8
101.7,5,4.49,2144.11
66.7,3,7.59,1315.71
102.9,3,6.53,1502.06
84.6,3,8.32,1301.08
71.7,2,3.78,1102.14
83.7,3,1.78,1706.31
123.8,4,3.57,2395.08
126.9,4,1.05,2367.56
76.7,4,25.37,890.61
79.0,3,3.35,1759.2
101.9,5,1.98,2225.73
53.9,2,2.7,844.46
83.3,4,2.87,1698.82
74.4,3,4.24,1636.79
82.8,4,4.27,1790.64
54.2,2,2.15,896.98
35.3,1,4.33,611.08
28.0,1,24.52,400.0
47.1,2,0.78,963.69
63.5,2,1.28,1425.7
67.7,2,21.56,869.25
123.4,4,10.35,1858.58
102.6,3,20.4,1539.59
50.9,1,7.48,925.76
83.7,3,12.53,1592.59
64.8,3,0.54,1560.68
67.9,2,11.96,1242.55
79.6,1,4.99,1346.7
90.5,3,13.02,1495.44
66.5,2,5.67,1213.4
101.6,5,0.3,2083.98
46.5,1,2.31,630.06
75.2,2,1.39,1261.49
139.9,5,8.3,2189.17
80.6,3,6.63,1528.14
110.8,4,2.2,2231.91
77.3,3,3.24,1522.61
89.5,3,1.5,1849.57
73.6,3,1.36,1687.99
70.7,2,0.65,1330.82
55.5,3,4.49,1292.4
85.8,2,1.9,1475.72
53.7,2,3.68,1249.66
91.6,3,5.13,1735.44
102.1,3,5.35,1554.32
84.2,3,1.44,1669.66
67.8,2,2.17,1541.62
86.3,2,0.3,1525.49
67.3,2,3.23,1331.57
98.4,3,8.34,1715.77
29.2,1,0.3,400.0
66.6,2,10.92,1162.43
28.0,1,13.64,400.0
37.6,1,5.02,467.25
109.1,4,10.94,1970.95
97.4,3,3.71,1780.07
57.0,3,1.98,1236.75
37.4,2,0.38,865.35
28.0,1,0.31,400.0
61.4,2,11.01,1012.57
135.5,4,16.59,1978.85
85.9,3,4.75,1481.49
61.0,3,13.39,1098.49
86.6,3,6.15,1520.26
36.0,1,10.07,400.0
67.6,3,5.67,1216.67
77.5,3,5.42,1718.47
72.8,1,2.56,1267.57
94.8,2,5.65,1320.99
83.6,3,1.8,1400.02
91.7,3,0.34,1729.6
57.8,3,4.6,1471.5
97.4,3,0.59,1767.18
115.7,3,3.41,2084.16
50.7,1,0.3,986.76
52.8,1,5.72,921.94
108.4,4,2.27,1794.18
70.2,2,0.8,1496.47
110.1,4,3.21,1937.62
63.9,3,3.02,1491.84
111.4,5,8.85,1892.22
78.3,3,15.13,1305.42
81.5,2,8.45,1374.68
114.1,4,0.76,2050.78
66.0,3,1.61,1483.18
51.5,2,30.0,400.0
63.8,3,3.13,1261.19
86.3,2,3.05,1733.0
35.9,2,10.1,705.04
90.9,3,9.74,1417.61
61.5,3,0.84,1461.15
103.7,3,5.41,1634.16
28.0,1,0.75,400.0
55.3,3,10.91,1213.78
32.8,1,0.47,400.0
54.3,2,4.6,1180.13
81.2,3,12.48,1331.99
70.5,2,3.5,1268.55
68.7,3,7.46,1391.35
71.0,2,5.32,1353.78
80.1,2,12.0,1104.23
49.8,1,18.36,628.18
92.7,4,7.58,1753.91
91.6,4,15.55,1362.41
84.6,2,2.6,1458.69
88.9,3,4.73,1829.13
82.4,3,3.58,1830.39
125.9,4,16.05,1933.67
72.8,2,10.2,1003.23
67.3,2,2.25,1359.57
56.2,2,2.81,1239.07
49.2,2,18.92,746.15
43.9,2,1.65,1032.4
52.8,2,3.06,1104.26
73.2,2,2.74,1339.97
83.4,3,0.3,1570.66
76.3,2,5.36,1045.83
55.9,1,3.23,1008.33
97.5,3,0.79,1819.63
93.5,3,0.3,1848.43
71.0,2,3.31,1110.19
58.7,2,10.31,1082.36
88.7,4,9.26,1968.43
79.7,2,1.63,1463.58
38.8,1,2.17,642.82
73.3,2,3.99,1370.91
81.6,3,0.57,1941.19
52.5,2,6.12,823.78
79.7,2,1.79,1478.78
38.6,1,12.78,400.0
108.4,4,6.26,1824.71
106.2,4,2.24,1969.31
68.7,1,9.94,1197.43
84.1,3,13.72,1644.35
28.0,2,4.71,509.82
46.1,2,1.93,896.02
67.7,3,19.92,1416.48
48.2,1,12.13,564.06
92.9,3,14.64,1357.85
124.9,3,6.7,1618.35
45.6,1,6.27,916.62
54.1,2,7.14,1127.14
80.9,2,1.08,1840.04
115.3,4,5.62,1767.95
44.4,1,1.14,1014.79
81.2,2,1.79,1475.6
120.5,4,2.37,2208.49
33.7,1,8.68,400.0
43.0,2,4.32,1057.48
64.4,3,4.31,1458.99
62.0,2,6.46,1113.7
95.3,4,4.28,1931.17
81.0,4,7.56,1501.09
30.6,1,0.46,400.0
87.9,3,3.05,1579.2
60.6,3,4.48,1004.63
106.9,5,0.7,2285.8
59.3,1,3.69,1179.14
59.1,2,3.76,1030.62
88.5,4,7.38,1751.81
94.1,4,2.36,1825.4
86.2,3,6.58,1602.72
32.9,1,8.2,400.0
88.5,3,7.08,1433.66
49.1,2,1.92,1167.28
80.9,3,7.84,1459.06
39.4,1,7.21,858.32
86.2,3,2.34,1653.7
54.8,2,1.6,976.44
42.9,2,2.25,1064.76
92.8,5,1.04,2116.37
81.0,2,4.92,1503.03
59.7,2,4.45,1308.32
111.3,4,3.57,1891.78
64.0,3,2.1,1364.94
75.8,3,0.65,1542.5
81.7,3,13.73,1154.31
59.5,3,5.12,1212.43
86.8,3,9.11,1704.52
61.7,3,10.73,1196.83
64.7,1,9.17,756.37
109.1,5,3.34,1883.42
49.0,2,5.99,1167.81
28.0,2,0.3,526.07
115.3,3,10.23,1637.84
138.7,4,14.28,1911.06
64.9,2,16.43,719.74
28.0,1,1.67,582.94
67.2,3,1.49,1382.4
67.8,3,4.11,1596.83
70.3,1,6.14,1107.39
47.2,2,5.52,1109.18
89.5,3,11.99,1506.77
88.1,3,4.53,1746.18
37.6,1,4.36,683.48
92.5,4,4.66,1892.69
126.3,3,3.4,2019.42
79.3,3,3.3,1515.62
66.6,1,2.32,1422.34
71.4,3,0.91,1372.64
90.4,3,1.84,1701.22
31.7,2,0.9,640.35
79.1,3,4.01,1593.02
65.2,2,21.95,759.63
121.2,4,5.29,2075.76
70.6,3,4.72,1389.39
116.7,4,4.91,1765.57
47.4,1,1.49,848.65
89.7,3,3.99,1481.19
83.0,2,1.37,1233.89
53.3,2,6.57,1001.57
79.4,2,11.11,1313.04
105.3,4,1.49,2064.59
66.9,2,16.39,1054.61
32.7,3,13.32,400.0
74.6,2,0.3,1217.41
52.4,2,2.69,1347.1
66.4,3,1.29,1277.9
73.0,3,1.02,1617.83
32.4,1,10.57,400.0
34.6,1,7.54,442.77
87.1,3,3.97,1525.26
61.9,2,9.78,1129.27
28.0,1,8.7,400.0
94.6,3,0.57,1702.14
81.8,2,0.5,1342.56
57.2,2,8.53,1041.64
42.1,2,0.61,717.95
95.9,3,11.32,1609.29
83.7,2,6.21,1789.1
134.6,5,7.67,2413.09
85.5,3,3.2,1728.25
84.7,3,1.87,1628.46
70.8,2,2.45,1036.39
95.4,3,0.76,1574.44
90.6,3,2.56,1879.14
106.3,3,7.04,1613.53
62.0,3,12.4,1023.97
64.1,2,0.38,1258.42
63.0,3,11.85,996.05
94.8,3,18.31,1196.99
112.5,4,15.78,1723.16
63.5,2,4.74,1045.16
64.4,3,11.81,1064.86
82.9,3,8.61,1356.51
68.9,2,4.56,1334.66
98.8,3,5.0,1676.2
28.0,1,1.06,400.0
54.3,1,10.39,863.27
55.4,2,0.48,1128.49
28.0,1,6.91,400.0
50.9,3,23.24,783.4
52.1,1,8.56,876.99
70.0,3,4.85,1382.12
102.8,3,2.86,1805.91
68.9,2,11.33,990.09
49.2,2,0.57,911.89
73.6,1,4.06,1302.07
101.2,4,8.95,1852.46
50.6,3,2.45,1233.18
52.2,2,2.96,1083.81
89.0,3,0.56,1721.62
69.5,3,0.97,1587.55
91.2,3,0.3,1882.65
74.7,2,2.57,1509.51
92.5,2,4.41,1509.58
49.1,2,2.39,1207.17
74.7,3,2.09,1557.65
69.7,2,6.93,1309.41
44.6,2,16.6,642.31
35.9,1,4.52,567.51
92.1,3,4.73,1543.4
66.2,3,2.0,1521.85
49.4,1,2.8,1282.38
72.6,3,2.47,1433.14
103.2,3,18.39,1466.3
28.0,1,7.45,400.0
37.6,2,9.21,535.71
51.9,3,1.29,1444.91
111.5,4,10.38,1740.55
82.1,2,3.49,1366.48
94.2,3,0.89,1520.41
46.5,2,6.15,753.8
47.0,2,0.96,734.99
86.2,3,3.62,1713.37
76.5,3,0.79,1993.37
88.7,3,4.73,1564.9
70.3,2,1.36,1094.79
82.0,3,1.45,1756.38
79.0,3,0.97,1489.36
94.4,3,0.3,1968.32
95.2,3,0.8,1727.71
34.5,1,8.94,400.0
28.0,1,2.83,400.0
100.0,3,10.73,1709.49
104.7,5,16.02,1766.67
49.5,2,17.37,602.36
28.5,1,0.44,400.0
77.5,3,4.7,1308.3
98.3,3,0.64,1861.93
119.9,4,12.75,1586.72
87.9,3,9.11,1448.77
65.7,2,2.69,1368.55
52.7,2,2.95,1095.94
75.3,2,4.87,1417.97
67.5,2,7.03,1173.73
49.6,1,11.16,850.77
126.2,4,0.7,2304.62
119.6,5,4.94,2231.21
103.4,4,2.88,2077.75
52.0,3,1.92,1313.68
96.4,5,7.38,1850.61
91.0,3,3.08,1477.66
86.1,3,8.48,1573.69
106.2,3,10.51,1736.72
90.9,3,2.84,1847.11
93.5,3,0.3,1624.35
90.9,3,21.15,1144.75
83.5,2,7.34,1437.1
30.4,1,13.62,400.0
77.1,2,0.57,1162.42
61.1,3,0.84,1426.28
43.0,1,0.37,506.31
117.0,5,1.47,2079.06
118.2,4,0.3,2318.53
109.0,4,12.58,2046.42
81.4,2,2.27,1274.38
108.8,5,9.59,1927.4
75.3,3,10.72,1347.12
80.1,3,10.63,1665.5
47.7,1,3.98,724.18
84.9,3,21.12,1148.39
76.5,2,13.3,1390.5
42.4,2,19.16,441.93
73.7,3,5.31,1548.75
73.0,3,12.26,1057.35
119.9,3,3.68,1888.58
97.4,3,7.94,1384.56
75.3,3,7.22,1259.41
81.2,4,0.45,1900.44
76.1,3,1.35,1548.89
69.9,2,9.3,1117.13
47.9,2,0.3,910.52
71.2,3,8.79,1299.7
56.3,1,5.29,963.64
43.7,2,28.22,473.44
87.8,3,0.3,1314.42
84.8,3,4.34,1463.25
30.3,1,19.06,400.0
71.9,2,0.3,1373.55
99.9,3,6.39,1750.91
101.5,4,2.59,1968.44
100.6,3,1.74,1753.26
76.0,2,8.14,1186.78
53.9,2,3.76,1016.1
47.9,2,5.11,1089.33
83.6,3,0.3,1554.27
84.5,3,4.69,1567.71
107.2,4,0.48,2051.4
102.5,3,3.95,2001.26
71.7,3,0.54,1475.55
43.9,2,6.6,949.58
67.0,2,1.14,1491.17
80.4,3,0.3,1619.38
69.9,1,10.24,972.7
60.6,1,1.47,1019.4
81.3,3,0.3,1600.59
62.4,2,7.17,1237.84
59.3,2,4.48,1157.67
82.8,3,5.67,1572.57
65.0,3,12.32,1004.36
81.1,3,1.21,1471.6
81.8,3,1.7,1935.2
46.5,2,8.25,794.57
63.0,1,2.72,960.0
110.9,4,1.77,2240.72
45.9,2,10.05,812.22
28.0,1,2.59,435.96
28.5,1,2.5,400.0
75.7,3,17.56,1147.21
75.8,3,0.3,1550.48
72.1,4,18.02,1073.63
105.4,3,2.42,1812.79
28.0,1,19.63,400.0
84.9,3,0.83,1943.87
114.0,4,5.15,1989.41
46.8,1,8.05,400.0
65.5,3,8.35,1253.28
56.2,2,0.58,1571.42
52.6,2,0.54,1231.75
66.8,3,5.8,1219.53
110.7,4,0.57,2139.5
120.9,5,9.67,1958.66
66.6,2,11.27,875.06
122.6,4,0.92,2082.77
75.9,3,8.8,1403.84
118.8,5,0.3,1979.51
72.7,2,18.84,818.09
78.3,2,4.42,1376.04
84.1,2,7.9,1301.01
154.5,5,7.82,2390.59
96.3,3,6.43,1474.29
57.3,2,5.35,1180.12
99.2,4,0.3,1780.49
66.0,2,12.06,1299.01
62.8,2,5.54,893.95
97.7,3,1.72,1609.22
75.8,3,2.54,1589.25
82.0,3,2.69,1843.73
75.3,2,0.4,1475.02
83.4,3,1.25,1725.44
85.6,4,0.3,1827.98
28.0,1,5.37,400.0
91.7,2,3.22,1469.54
50.4,2,19.18,471.48
38.9,1,1.63,474.46
73.5,3,5.15,1501.75
77.1,3,0.41,1420.33
57.7,2,2.16,1197.38
95.8,4,5.68,1613.04
41.4,1,18.18,402.68
64.8,3,19.61,936.69
60.4,2,0.3,1442.52
73.8,3,5.83,1478.75
82.0,3,1.52,1805.21
49.8,1,12.55,535.0
93.1,3,8.03,1599.3
76.6,2,1.41,1273.79
28.0,1,2.95,400.0
28.0,1,0.3,400.0
74.7,3,3.12,1391.85
69.5,4,4.74,1357.82
72.4,3,3.87,1244.05
74.3,2,7.8,901.97
80.6,3,0.89,1459.75
98.7,4,10.56,1821.91
47.2,1,2.84,573.93
45.7,2,2.96,716.78
47.7,1,2.11,1107.89
82.2,3,9.05,1360.9
106.1,3,3.09,1865.35
64.2,2,2.22,1340.54
28.0,1,6.03,400.0
32.4,1,6.09,400.0
54.2,3,2.39,1193.41
61.1,2,11.54,751.88
64.8,2,2.88,1605.0
76.0,1,7.79,894.28
67.2,2,2.1,1130.76
101.2,3,9.13,1485.67
58.1,1,8.88,643.32
53.4,2,7.57,1163.61
87.0,3,9.59,1858.94
36.6,1,5.14,462.83
84.7,3,1.22,1457.53
77.6,3,4.27,1174.16
71.3,3,1.42,1459.58
114.7,4,5.75,1921.37
59.4,2,0.71,1109.78
126.5,4,5.06,2105.34
69.4,2,0.94,1401.73
43.1,2,5.33,865.61
76.7,2,24.59,864.75
48.1,2,6.89,716.36
56.2,2,2.2,1224.73
84.9,3,1.63,1650.58
88.9,4,3.24,1927.97
59.4,1,4.29,1107.23
99.7,4,5.58,1633.16
103.9,2,1.75,1472.69
110.9,4,6.02,1819.23
88.2,4,1.1,1676.24
109.1,4,15.6,1820.36
28.0,1,7.87,400.0
67.1,2,3.89,1412.1
53.3,3,6.87,1173.91
78.0,2,1.02,1477.13
60.7,3,11.73,1304.48
70.8,2,13.89,1145.98
122.1,4,1.3,2133.2
70.8,2,0.3,1596.57
85.3,2,2.63,1508.21
69.2,3,6.64,1308.8
76.9,3,21.49,997.03
75.2,2,2.44,1487.14
86.2,3,2.39,1831.21
104.1,3,0.76,1843.74
116.2,5,12.11,2176.78
82.7,2,18.7,814.03
89.7,4,0.43,1856.28
46.2,2,0.57,978.36
72.8,2,1.82,1257.09
98.5,3,13.37,1881.72
96.6,3,28.85,1156.12
80.3,2,2.61,1375.85
97.2,4,8.39,1765.64
87.3,2,5.37,1151.09
105.0,2,1.46,1589.7
